"pid","bid","labelid","wgt_gain_after_train","pct_body_fat_change","pct_body_lean_change","pct_body_fluid_change","lactate_change_dueto_train","vo2_max_change","EDTA_coll_time_train","deathtime_after_train","frozetime_after_train"
12667560,90714,90714013301,,,,,,,91327,91558,91737
12667560,90714,90714013401,,,,,,,91327,91558,91771
12667560,90714,90714013402,,,,,,,91327,91558,91754
12667560,90714,90714013501,,,,,,,91327,91558,91688
12667560,90714,90714013601,,,,,,,91327,91558,91461
12667560,90714,90714013701,,,,,,,91327,91558,91856
12667560,90714,90714013801,,,,,,,91327,91558,91953
12667560,90714,90714013901,,,,,,,91327,91558,91584
12667560,90714,90714014001,,,,,,,91327,91558,91673
12667560,90714,90714014101,,,,,,,91327,91558,91712
12667560,90714,90714014201,,,,,,,91327,91558,91774
12667560,90714,90714014301,,,,,,,91327,91558,91691
12667560,90714,90714014501,,,,,,,91327,91558,91837
12667560,90714,90714014601,,,,,,,91327,91558,91749
12667560,90714,90714014701,,,,,,,91327,91558,91546
12667560,90714,90714014801,,,,,,,91327,91558,91768
12667560,90714,90714014901,,,,,,,91327,91558,91625
12667560,90714,90714015001,,,,,,,91327,91558,91871
12667560,90714,90714015101,,,,,,,91327,91558,91562
12667560,90714,90714017101,,,,,,,91327,91558,91429
12667560,90714,90714017201,,,,,,,91327,91558,91449
12667560,90714,90714017401,,,,,,,91327,91558,91788
12667560,90714,90714017501,,,,,,,91327,91558,91977
12667560,90714,90714017601,,,,,,,91327,91558,92026
12667560,90714,90714017701,,,,,,,91327,91558,92076
12667560,90714,90714017801,,,,,,,91327,91558,91997
12667560,90714,90714017901,,,,,,,91327,91558,91952
11222662,90613,90613013001,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,191025
11222662,90613,90613013002,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,191025
11222662,90613,90613013101,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,
11222662,90613,90613013201,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,
11222662,90613,90613013202,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,
11222662,90613,90613013301,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182752
11222662,90613,90613013401,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182792
11222662,90613,90613013402,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182774
11222662,90613,90613013501,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182702
11222662,90613,90613013601,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182388
11222662,90613,90613013701,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182822
11222662,90613,90613013801,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182992
11222662,90613,90613013901,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182533
11222662,90613,90613014001,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182598
11222662,90613,90613014101,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182645
11222662,90613,90613014201,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182761
11222662,90613,90613014301,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182629
11222662,90613,90613014401,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182772
11222662,90613,90613014601,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182734
11222662,90613,90613014701,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182457
11222662,90613,90613014801,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182745
11222662,90613,90613014901,-47.2,-4.3,2.6,-0.6,4.0,6.93,182235,182507,182560
