"participantGUID","visitGUID","d_visit","days_visit","staffID","siteGUID","siteID","pid","visitcode","formGUID","FormName","versionGUID","versionNbr","anesthesiaid","t_anesthesia","anesthesiacomments","bloodtype","bloodtube","bloodcomplete","bloodtechid","t_bloodstart","t_bloodstop","t_edtafill","bloodcomments","uterustype","uterustechid","uteruscomplete","t_uterusstart","t_uterusstop","uterusweight","uteruscomments","t_death","deathtype"
"BB316AB0-EEB0-42CF-93B0-4B43C5A4A605","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","03OCT2018",93,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10045732,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"12:57:07",,"EDTA","Draw",1,1333,"12:59:04","12:59:25","12:59:44",,,,,,,,,"13:04:42",2
"1E774011-BEB7-4FF9-B622-3DCBB34526EF","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","03OCT2018",93,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10045813,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"13:18:10",,"EDTA","Draw",2,1333,"13:20:09","13:20:44","13:20:59",,,,,,,,,"13:26:52",2
"76BADF95-5E94-4770-A1C5-715FEE6F935A","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","04OCT2018",94,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10046038,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"11:33:00",,"EDTA","Draw",2,1333,"11:36:27","11:36:52","11:37:14",,,,,,,,,"11:42:49",2
"F9BEE1FA-E2DB-4BE4-A79C-99D585D6FD17","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","04OCT2018",94,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10046119,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"11:54:33",,"EDTA","Draw",1,1333,"11:56:48","11:57:04","11:57:19",,,,,,,,,"12:01:52",2
"A77AC89A-1D9E-4516-9DA4-2BE99C8126EF","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","04OCT2018",94,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10046380,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"12:15:30",,"EDTA","Draw",1,1333,"12:17:16","12:17:35","12:17:52",,,,,,,,,"12:22:46",2
"2B969165-1A52-43AA-8FD9-39AFA62F094F","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","04OCT2018",94,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10046461,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"12:34:58",,"EDTA","Draw",1,1333,"12:37:26","12:37:41","12:37:55",,,,,,,,,"12:42:38",2
"83BAA78D-FC67-428D-82EB-066E062B8C10","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","04OCT2018",94,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10046542,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"12:54:50",,"EDTA","Draw",1,1333,"12:56:48","12:56:59","12:57:19",,,,,,,,,"13:02:33",2
"6E2D02A7-902E-45A1-98A6-D221EAB3E895","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","04OCT2018",94,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10046623,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"13:13:50",,"EDTA","Draw",2,1333,"13:16:29","13:17:15","13:17:29",,,,,,,,,"13:22:29",2
"3CB7B4DD-4FDB-4673-B02C-6727DE9F43C7","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","05OCT2018",95,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10046704,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"12:16:30",,"EDTA","Draw",1,1333,"12:18:26","12:18:49","12:19:08",,,,,,,,,"12:24:18",2
"9902995F-147D-495B-8932-1CAC9B9F6CF1","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","05OCT2018",95,1334,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10046895,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","44CB5074-7AD2-4584-8248-830E137BA4F6",1,1332,"12:35:26",,"EDTA","Draw",1,1333,"12:37:31","12:37:54","12:38:11",,,,,,,,,"12:42:32",2
