"recid","FormName","formguid","versionguid","versionnbr","siteguid","siteid","environmentguid","environmentdateentered","environmenttemp","environmenthumidity"
711,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"3ACEF811-852C-4A9A-B81F-3A824127369A","11AUG2018:00:00:00.000",22.3,57.0
712,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"EC180043-DC06-4FF5-B504-F4F502C4C0FF","12AUG2018:00:00:00.000",22.2,57.7
713,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"7B2E4617-403F-4434-A241-7065CAB0FD45","13AUG2018:00:00:00.000",22.3,58.1
714,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"CB6354E9-2E89-4651-B415-9EB4416CD9B6","14AUG2018:00:00:00.000",22.2,58.9
715,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"044B6B25-86A2-40D5-A8CC-45F1DD15BD60","15AUG2018:00:00:00.000",22.3,61.6
716,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"0A8F0BEA-91D0-462F-8A38-4575E272A083","16AUG2018:00:00:00.000",22.2,61.2
717,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"55DD4A9D-DB4A-4646-A71B-AB82525DBF37","17AUG2018:00:00:00.000",22.3,59.7
718,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"3073DE92-CBA2-4210-B644-C93DFD534E50","18AUG2018:00:00:00.000",22.2,59.0
719,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"B21BBEC0-B413-4742-8C0B-2D4844E64A95","19AUG2018:00:00:00.000",22.3,58.3
720,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"ED393433-9B72-4D1A-A619-E93FA30FED45","20AUG2018:00:00:00.000",22.2,58.9
721,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"442141BA-0CA2-4163-8E14-C6B89107F602","21AUG2018:00:00:00.000",22.2,55.4
722,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"EDD34920-E92A-43C5-85AA-41650E17282A","22AUG2018:00:00:00.000",22.3,53.1
723,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"C7D9AC5B-1E9E-4568-9102-4A43F1268A18","23AUG2018:00:00:00.000",22.3,53.9
724,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"CC31AC51-8271-4334-A7B2-769C5740CA10","24AUG2018:00:00:00.000",22.2,56.4
725,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"C2ED5D7D-D588-4D36-BA49-BE129325EB7B","25AUG2018:00:00:00.000",22.2,60.5
