"versionNbr (Form Version Number)","Rule Version Specific (0=no,1=yes)","Form Name (* indicates multiple forms involved)","Field Name (* indicates multiple fields involved)","Data Capture Rules Sequence","Rule Description","Rule Display Message","Rule Definition","Fields Involved","formGUID","fieldGUID","versionGUID"
0,0,"Animal Training","*",999,"Excercise rat day26 posttrainlact value is missing.","Excercise rat without a day26 posttrainlact","control=0 and day26_posttrainlact_RTRA = . and day26date_RTRA=.","DAY26_POSTTRAINLACT_RTRA|DAY26DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat day30 posttrainlact value is missing.","Excercise rat without a day30 posttrainlact","control=0 and day30_posttrainlact_RTRA = . and day30date_RTRA=.","DAY30_POSTTRAINLACT_RTRA|DAY30DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat day31 posttrainlact value is missing.","Excercise rat without a day31 posttrainlact","control=0 and day31_posttrainlact_RTRA = . and day31date_RTRA=.","DAY31_POSTTRAINLACT_RTRA|DAY31DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat day35 posttrainlact value is missing.","Excercise rat without a day35 posttrainlact","control=0 and day35_posttrainlact_RTRA = . and day35date_RTRA=.","DAY35_POSTTRAINLACT_RTRA|DAY35DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat day40 posttrainlact value is missing.","Excercise rat without a day40 posttrainlact","control=0 and day40_posttrainlact_RTRA = . and day40date_RTRA=.","DAY40_POSTTRAINLACT_RTRA|DAY40DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat day5 posttrainlact value is missing.","Excercise rat without a day5 posttrainlact","control=0 and day5_posttrainlact_RTRA = . and day5date_RTRA=.","DAY5_POSTTRAINLACT_RTRA|DAY5DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat day6 posttrainlact value is missing.","Excercise rat without a day6 posttrainlact","control=0 and day6_posttrainlact_RTRA = . and day6date_RTRA=.","DAY6_POSTTRAINLACT_RTRA|DAY6DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day12 posttrainlact value when it is not expected.","Excercise rat with a day12 posttrainlact","control=0 and day12_posttrainlact_RTRA ne .","DAY12_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day13 posttrainlact value when it is not expected.","Excercise rat with a day13 posttrainlact","control=0 and day13_posttrainlact_RTRA ne .","DAY13_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day14 posttrainlact value when it is not expected.","Excercise rat with a day14 posttrainlact","control=0 and day14_posttrainlact_RTRA ne .","DAY14_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day17 posttrainlact value when it is not expected.","Excercise rat with a day17 posttrainlact","control=0 and day17_posttrainlact_RTRA ne .","DAY17_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day18 posttrainlact value when it is not expected.","Excercise rat with a day18 posttrainlact","control=0 and day18_posttrainlact_RTRA ne .","DAY18_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,"Excercise rat with a day19 posttrainlact value when it is not expected.","Excercise rat with a day19 posttrainlact","control=0 and day19_posttrainlact_RTRA ne .","DAY19_POSTTRAINLACT_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
